Kitap ID;Yazar ID;Kitap ID;Dil ID;Sayfa Sayisi;Yayin Tarihi; Satis Adedi ;Satis Tutari
1;163;1;1;512;15.08.2019; 2.207 ; 30.765,58 
2;20;2;2;272;20.07.2006; 5.412 ; 81.937,68 
3;39;3;3;123;13.07.2009; 10.855 ; 134.493,45 
4;165;4;4;255;30.10.2018; 9.349 ; 364.424,02 
5;129;5;5;578;28.10.2004; 8.232 ; 49.721,28 
6;226;6;4;648;11.05.2000; 9.194 ; 219.276,90 
7;219;6;6;148;2.08.2005; 11.651 ; 110.684,50 
8;113;7;4;191;9.11.2001; 2.593 ; 53.156,50 
9;118;8;4;592;5.11.2011; 8.445 ; 68.995,65 
10;121;6;6;545;17.12.2012; 2.437 ; 58.488,00 
11;69;9;4;230;1.03.2019; 8.540 ; 385.666,40 
12;46;10;4;483;13.06.2006; 3.816 ; 211.101,12 
13;190;11;2;158;15.02.2002; 8.907 ; 261.598,59 
14;184;12;4;214;9.11.2002; 2.408 ; 43.030,96 
15;46;8;7;418;12.08.2004; 11.619 ; 373.899,42 
16;217;13;8;541;8.08.2006; 7.043 ; 268.408,73 
17;31;4;3;364;30.10.2015; 9.170 ; 156.990,40 
18;204;14;2;444;18.06.2013; 10.731 ; 231.574,98 
19;210;11;5;525;6.02.2018; 1.049 ; 43.019,49 
20;63;15;6;244;29.10.2016; 6.713 ; 266.976,01 
21;135;6;6;295;28.10.2003; 4.993 ; 172.608,01 
22;88;3;9;138;12.05.2006; 3.733 ; 138.830,27 
23;198;13;3;223;12.11.2011; 6.931 ; 127.391,78 
24;218;16;2;578;25.01.2006; 11.140 ; 576.049,40 
25;151;2;4;249;3.06.2001; 5.587 ; 266.164,68 
26;203;9;6;577;1.06.2015; 5.920 ; 105.612,80 
27;12;17;6;625;5.10.2013; 11.117 ; 490.370,87 
28;212;18;4;222;1.08.2003; 6.275 ; 295.301,50 
29;13;19;4;171;14.02.2012; 7.120 ; 74.404,00 
30;36;6;7;176;26.02.2016; 9.110 ; 455.226,70 
31;133;5;4;179;5.09.2014; 4.594 ; 204.478,94 
32;55;20;4;542;19.06.2011; 7.258 ; 170.054,94 
33;51;21;4;554;27.09.2001; 8.226 ; 415.495,26 
34;24;3;4;263;21.12.2005; 983 ; 55.323,24 
35;177;17;4;354;27.10.2014; 1.043 ; 15.467,69 
36;124;16;10;503;8.12.2019; 1.004 ; 44.607,72 
37;153;11;6;548;1.02.2005; 777 ; 20.808,06 
38;95;17;6;333;13.01.2017; 6.227 ; 326.606,15 
39;82;9;6;202;18.09.2014; 11.021 ; 339.557,01 
40;154;7;11;572;4.07.2005; 969 ; 48.479,07 
41;124;19;4;371;22.02.2010; 8.289 ; 436.913,19 
42;235;8;4;539;17.12.2006; 2.487 ; 92.392,05 
43;99;21;7;402;21.03.2003; 5.981 ; 55.264,44 
44;37;6;1;410;27.02.2011; 9.100 ; 386.932,00 
45;141;7;11;498;19.09.2011; 7.026 ; 114.875,10 
46;60;22;4;440;7.03.2002; 578 ; 18.559,58 
47;21;10;6;418;25.07.2002; 749 ; 12.201,21 
48;138;7;6;621;25.10.2006; 3.413 ; 96.929,20 
49;125;20;6;496;19.10.2019; 10.849 ; 474.860,73 
50;63;23;6;101;8.10.2007; 10.154 ; 103.469,26 
51;26;5;7;405;8.02.2018; 5.730 ; 73.229,40 
52;16;17;6;562;5.09.2009; 6.401 ; 55.368,65 
53;235;6;4;302;21.01.2009; 3.074 ; 54.133,14 
54;190;2;4;441;23.02.2003; 6.978 ; 284.353,50 
55;17;13;6;182;18.07.2007; 7.582 ; 119.113,22 
56;167;14;8;254;24.04.2016; 1.244 ; 53.118,80 
57;186;12;11;229;25.07.2005; 8.340 ; 470.292,60 
58;193;16;1;209;9.10.2000; 3.803 ; 78.646,04 
59;188;22;4;273;5.04.2000; 1.869 ; 56.051,31 
60;226;14;4;627;7.05.2004; 6.490 ; 40.367,80 
61;185;3;11;588;10.08.2016; 1.377 ; 40.965,75 
62;192;19;10;137;8.09.2005; 7.403 ; 391.248,55 
63;188;13;4;568;25.03.2002; 11.062 ; 228.098,44 
64;217;6;6;390;8.05.2015; 5.096 ; 146.408,08 
65;147;24;7;542;30.09.2001; 6.554 ; 177.613,40 
66;174;25;4;250;27.05.2010; 1.832 ; 102.335,52 
67;156;23;4;249;25.09.2010; 2.281 ; 109.898,58 
68;202;26;4;249;18.03.2006; 6.544 ; 293.891,04 
69;215;17;12;622;24.08.2017; 8.227 ; 458.079,36 
70;186;10;2;619;22.12.2009; 9.600 ; 91.584,00 
71;208;14;4;291;22.11.2014; 6.392 ; 360.508,80 
72;169;26;2;436;8.08.2016; 6.752 ; 120.050,56 
73;10;1;4;603;6.11.2005; 11.261 ; 227.697,42 
74;13;3;7;435;27.04.2002; 11.499 ; 620.716,02 
75;157;18;2;524;31.10.2011; 4.304 ; 93.138,56 
76;191;20;10;517;3.02.2012; 4.159 ; 137.413,36 
77;211;1;4;475;6.08.2006; 8.393 ; 168.447,51 
78;17;10;4;342;1.03.2013; 1.285 ; 25.931,30 
79;155;23;6;300;13.11.2001; 9.935 ; 103.423,35 
80;215;3;6;184;14.06.2012; 148 ; 6.162,72 
81;49;12;11;294;2.11.2018; 6.029 ; 255.086,99 
82;103;5;4;477;4.10.2004; 3.944 ; 74.620,48 
83;214;27;6;257;16.07.2004; 4.176 ; 187.335,36 
84;35;10;4;558;21.11.2000; 8.544 ; 400.030,08 
85;73;6;1;296;2.07.2006; 6.127 ; 81.305,29 
86;61;27;4;638;19.02.2013; 7.519 ; 168.124,84 
87;153;21;6;465;31.03.2018; 4.070 ; 75.417,10 
88;218;3;4;335;12.08.2004; 6.987 ; 214.989,99 
89;79;28;4;303;29.06.2018; 8.299 ; 280.091,25 
90;25;28;1;228;16.11.2017; 2.616 ; 46.721,76 
91;120;14;3;444;1.08.2007; 5.061 ; 273.294,00 
92;236;4;4;180;22.08.2013; 2.240 ; 96.678,40 
93;216;6;4;596;29.10.2005; 4.955 ; 43.009,40 
94;164;28;4;398;7.11.2001; 11.696 ; 281.756,64 
95;111;27;6;567;3.11.2009; 2.219 ; 77.287,77 
96;95;7;4;298;24.11.2018; 9.833 ; 420.655,74 
97;29;17;4;584;30.06.2003; 9.503 ; 183.027,78 
98;79;4;4;201;20.12.2013; 9.423 ; 385.400,70 
99;144;12;4;309;27.12.2005; 4.882 ; 111.651,34 
100;41;16;4;395;8.11.2008; 5.203 ; 97.504,22 
101;142;24;11;487;16.11.2006; 11.510 ; 289.476,50 
102;82;8;6;316;20.09.2005; 11.699 ; 570.209,26 
103;19;2;4;295;30.03.2003; 3.071 ; 70.325,90 
104;82;22;4;307;19.09.2013; 1.723 ; 50.501,13 
105;167;28;4;148;4.10.2003; 7.903 ; 324.655,24 
106;101;19;9;402;20.12.2005; 3.313 ; 175.688,39 
107;36;14;4;509;18.09.2006; 4.274 ; 165.403,80 
108;142;1;4;505;4.04.2010; 10.976 ; 435.966,72 
109;25;7;4;188;29.12.2008; 1.055 ; 57.993,35 
110;73;16;9;551;4.01.2013; 4.562 ; 137.088,10 
111;200;15;4;633;24.06.2010; 6.285 ; 202.125,60 
112;42;21;4;568;6.04.2009; 2.170 ; 28.600,60 
113;148;22;6;583;17.03.2015; 8.747 ; 170.741,44 
114;206;25;12;365;21.02.2016; 6.596 ; 223.604,40 
115;180;29;2;393;9.04.2002; 2.846 ; 115.035,32 
116;88;1;4;149;10.03.2007; 5.193 ; 184.455,36 
117;75;28;6;479;20.10.2011; 6.360 ; 64.935,60 
118;147;24;4;305;9.07.2005; 1.994 ; 33.120,34 
119;126;1;4;467;5.05.2009; 6.620 ; 375.023,00 
120;236;18;12;418;2.02.2002; 3.908 ; 190.085,12 
121;104;20;4;276;3.10.2012; 3.593 ; 51.846,99 
122;157;8;4;420;2.07.2016; 9.847 ; 422.140,89 
